idp;xl93;yl93;dep;csa;uta1;uta2;tm2;plisi;elisi;sfo;gest;incid;peupnr;dc;dcespar1;dcespar2;tplant;tpespar1;tpespar2;dist;iti;pentexp;portance;asperite;esspre;cac;ess_age_1
716265;834509;6405755;07;3;0;;3;0;;0;0;0;0;0;;;0;;;3;1;0;2;0;05;15;
716266;215356;6808573;29;1;0;;3;1;265;4;0;0;0;0;;;0;;;0;0;0;1;0;02;06;
716299;706182;6944440;60;1;0;;3;1;380;3;2;0;0;8;;;0;;;1;1;0;1;0;17;09;
716302;731850;6434600;43;1;0;8;3;0;;1;1;0;0;0;;;0;;;2;1;4;;;61;17;
716309;811167;6597783;71;1;0;;3;1;28;1;2;0;0;0;;;P;64;;1;1;0;1;0;64;09;
716337;746767;6780195;89;1;0;;3;0;;3;2;0;0;0;;;0;;;0;0;0;1;0;03;16;
716338;871114;6597271;01;1;0;;2;0;;3;0;0;0;0;;;0;;;0;0;0;1;0;17;05;
716346;748579;6522379;63;1;0;;3;0;;3;0;0;0;0;;;0;;;0;0;1;1;0;02;17;
716418;785972;6689926;21;1;0;;3;0;;1;2;0;0;0;;;P;64;;1;1;0;1;0;64;04;
716422;462136;6680648;49;1;0;;3;2;228;3;1;0;0;0;;;0;;;0;0;0;1;0;34;07;
716445;726930;7034221;59;1;0;;3;0;;3;1;0;0;0;;;0;;;1;1;0;2;0;13;13;
716469;628022;6443467;19;1;0;;3;0;;1;0;0;0;0;;;0;;;1;2;1;1;0;12;10;
716479;629110;6573343;23;1;0;;3;1;350;4;2;0;1;3;02;25C;0;;;1;1;0;1;0;49;NR;
716480;634464;6735174;45;1;0;;3;0;;1;2;0;0;8;;;0;;;0;0;0;2;0;52;11;
716580;836785;6789422;10;1;0;;3;0;;1;2;0;0;8;;;0;;;1;1;0;1;0;09;14;
716611;529615;6624132;86;1;0;;2;1;70;3;1;0;0;0;;;0;;;0;0;0;1;0;02;09;
716624;928251;6734675;70;1;0;;3;0;;1;2;0;0;7;09;;0;;;2;1;0;2;0;09;19;
716631;820903;6567725;69;1;0;;3;0;;1;2;0;0;0;;;P;64;;1;1;1;2;0;64;02;
716648;606328;6477617;19;1;0;;2;1;340;1;0;0;0;0;;;0;;;1;1;0;1;0;02;10;
716665;540990;6550098;87;1;0;;3;2;398;4;2;0;1;0;;;0;;;0;0;0;2;0;10;NR;
716683;377370;6335650;40;1;0;;3;0;;1;2;0;0;8;;;0;;;1;1;0;1;0;51;11;
716705;983004;6826139;54;1;0;;3;0;;1;2;0;0;0;;;0;;;1;1;0;1;0;13;04;
716715;989156;6844075;54;1;0;;3;0;;2;2;0;0;0;;;0;;;1;1;0;1;0;09;14;
716717;715163;6232945;11;1;0;;3;0;;1;2;0;0;0;;;0;;;1;1;0;2;0;57;05;
716722;913568;6305178;84;1;0;;3;0;;3;1;0;0;0;;;0;;;0;0;1;1;0;57;12;
716742;816068;6351965;30;1;0;;3;0;;4;0;0;0;0;;;0;;;1;2;3;2;1;06;10;
716743;730055;6458593;43;1;0;;3;0;;1;2;0;0;0;;;0;;;0;0;1;1;0;05;15;
716779;1034323;6751745;68;1;0;;3;0;;3;2;0;0;0;;;0;;;0;0;0;1;0;11;11;
716780;548850;6534047;87;1;0;;3;1;30;3;0;0;0;0;;;0;;;0;0;0;1;0;13;12;
716788;619913;6429547;46;1;0;;3;0;;1;0;0;0;0;;;0;;;2;1;0;1;0;02;11;
716806;722155;6942306;02;1;0;;3;0;;3;2;0;0;0;;;0;;;1;1;0;1;0;24;05;
716823;543477;6248368;31;1;0;;3;0;;1;2;0;2;3;05;02;0;;;2;2;1;1;0;22;NR;
716830;750002;6926079;02;1;0;;3;1;138;1;0;0;0;0;;;0;;;1;1;0;1;0;18;10;
716860;872589;6419416;26;1;0;;3;0;;3;1;0;0;0;;;0;;;1;1;1;2;0;05;14;
716870;505763;6398529;47;1;0;;3;1;150;1;1;0;0;0;;;0;;;0;0;0;1;0;05;13;
716890;858392;6745267;52;1;0;;3;0;;1;2;0;0;8;;;0;;;0;0;0;1;0;09;13;
716899;1173751;6129113;2A;1;0;;3;0;;4;0;0;0;0;;;0;;;2;2;2;1;2;49;13;
716901;403661;6861007;14;3;0;6;3;0;;0;0;0;0;0;;;0;;;1;1;0;1;0;25;05;
716933;350925;6277926;40;1;0;8;3;0;;3;0;0;0;0;;;0;;;1;3;0;0;0;13;10;
716945;560089;6683833;37;1;0;;3;0;;3;2;0;0;9;;;0;;;1;1;0;2;0;02;18;
716963;667078;6810849;77;1;0;;3;0;;3;2;0;0;0;;;0;;;0;0;0;1;0;52;09;
716965;498069;6434558;24;1;0;;3;1;225;3;1;0;0;0;;;0;;;2;1;0;1;0;11;08;
716989;973852;6692312;25;1;0;;3;1;387;1;2;0;0;0;;;P;62;;1;1;1;1;0;62;07;
716992;760483;6394396;48;1;6;0;3;0;;1;2;1;0;0;;;0;;;0;0;1;1;0;52;10;
717000;756335;6730148;89;1;0;;3;0;;1;0;0;0;0;;;0;;;1;1;2;1;0;52;10;
717011;610424;6489572;19;1;0;;3;0;;1;2;0;0;0;;;P;64;;1;1;1;1;0;64;03;
717013;742771;6544409;63;1;0;;3;0;;1;1;0;0;0;;;0;;;2;1;2;1;0;03;14;
717020;672163;6465076;15;1;0;;3;0;;1;2;0;0;8;;;I;63;73;0;0;3;1;1;63;09;
717023;369510;6351698;40;1;0;;3;0;;1;2;0;0;0;;;P;51;;1;1;0;1;0;51;02;
717034;374423;6463551;33;1;0;;3;0;;1;2;1;0;0;;;0;;;2;1;0;2;0;51;08;
717044;666681;6169424;66;3;8;;3;0;;0;;0;0;0;;;0;;;1;2;3;2;2;06;NR;
717064;947288;6624594;25;1;0;;3;0;;2;2;0;0;0;;;0;;;1;2;1;1;1;62;14;
717071;422086;6670985;49;1;0;;3;0;;4;2;0;0;0;;;0;;;0;0;0;1;0;10;09;
717072;859761;6905153;55;1;0;;3;0;;1;2;0;0;0;;;P;62;;1;1;0;2;0;62;12;
717084;538029;6434227;24;1;0;;3;0;;3;0;0;0;0;;;0;;;1;1;1;1;0;10;12;
717092;409139;6311414;40;1;0;;3;0;;1;2;0;2;3;51;;0;;;0;0;0;1;0;10;NR;
717097;828617;6417794;07;1;0;;3;0;;3;0;0;0;0;;;0;;;0;0;1;2;1;17;09;
717103;736690;6770287;89;1;0;;3;0;;3;2;0;0;0;;;0;;;1;1;0;1;0;03;15;
717122;1211651;6122787;2A;1;0;;3;0;;1;0;0;0;0;;;0;;;3;2;4;;;09;16;
717128;627944;6911117;60;1;0;;3;0;;1;2;0;0;0;;;0;;;0;0;0;1;0;20;11;
717135;667730;6413162;15;1;0;;3;0;;3;1;0;0;0;;;0;;;0;0;2;2;0;09;13;
717140;1166900;6145154;2A;1;X;;3;0;;4;;0;0;0;;;0;;;2;3;4;;;40;15;
717157;873185;6255577;13;3;0;;3;0;;0;1;0;0;0;;;0;;;0;0;0;2;0;57;08;
717162;945774;6912408;57;1;0;;3;0;;1;2;0;0;0;;;0;;;1;1;1;1;0;11;17;
717165;468331;6221021;65;1;0;6;2;1;110;1;2;0;0;9;;;0;;;0;0;4;;;09;13;
717166;907752;6674896;39;1;0;;3;0;;3;0;0;0;0;;;0;;;1;1;2;1;0;17;11;
717170;754591;6406434;48;1;0;;3;1;6;1;2;4;0;0;;;P;62;;1;2;0;1;0;62;10;
717171;907076;6828793;54;1;0;;3;0;;1;0;0;0;0;;;0;;;0;0;2;1;0;09;12;
717180;798617;6531946;42;1;0;6;3;1;158;1;1;0;0;0;;;0;;;1;1;1;1;0;03;11;
717184;661772;6892843;60;1;0;;3;0;;3;2;0;0;8;;;0;;;1;1;0;1;0;20;14;
717187;878291;6735104;52;1;0;;3;2;143;1;2;0;0;0;;;0;;;0;0;0;2;0;24;10;
717197;730119;6702391;58;1;0;;3;1;175;4;0;0;0;0;;;0;;;0;0;1;1;0;49;07;
717211;752152;6708200;89;1;0;;3;0;;1;2;0;1;4;64;61;P;64;;1;1;0;1;0;64;NR;
717220;953024;6478669;73;3;6;0;3;0;;0;1;0;0;9;;;0;;;3;1;1;1;1;62;AA;
717224;514309;6706197;37;1;0;;3;0;;1;2;0;0;0;;;0;;;1;1;0;1;0;02;14;
717230;839262;6611532;71;1;0;;3;0;;3;0;0;0;0;;;0;;;2;1;1;1;0;03;10;
717232;808693;6541852;69;1;0;;3;0;;1;2;0;0;0;;;P;64;;0;0;3;2;0;64;09;
717236;1024852;6811786;67;1;0;;3;2;63;1;2;0;0;8;;;0;;;0;0;0;2;0;03;16;
