idp;a;espar;ori;veget;datemort;c13;v;w
751393;3;38AU;0;5;2;28;0.017;88.41
751393;4;38AU;0;5;2;30;0.019;88.41
751393;5;38AU;0;5;2;24;0.012;88.42
751393;8;38AU;0;5;2;31;0.021;88.41
751393;9;38AU;0;5;2;24;0.012;88.42
751393;10;38AU;0;5;2;24;0.012;88.42
751393;12;38AU;0;5;2;28;0.017;88.41
751418;1;25M;0;5;1;34;0.034;88.41
751418;3;25M;0;A;;50;0.086;88.40
751418;7;25M;0;5;1;54;0.103;88.40
751418;8;25M;0;5;1;51;0.090;88.40
751433;4;62;1;C;2;122;1.338;14.14
751433;5;62;1;C;2;128;1.501;14.14
751441;7;10;0;5;2;36;0.048;88.41
751441;9;10;0;5;1;63;0.192;88.39
751441;11;10;0;5;2;26;0.017;88.42
751441;13;10;0;5;2;41;0.069;88.41
751441;16;10;0;5;2;32;0.034;88.41
751441;23;10;0;5;2;24;0.012;88.42
751441;25;10;1;5;1;44;0.082;89.33
751441;29;10;0;C;2;45;0.087;108.38
751441;30;10;0;5;2;72;0.258;51.30
751441;31;10;0;5;2;99;0.496;47.65
751451;4;69JC;1;5;1;26;0.012;88.42
751464;7;31;0;A;;32;0.026;94.26
751464;9;17C;0;C;2;33;0.044;98.09
751483;6;52;1;C;2;26;0.014;93.87
751483;11;52;1;C;2;29;0.019;88.41
751483;13;52;1;5;1;35;0.031;88.41
751599;3;17C;0;5;1;77;0.335;39.29
751607;9;12V;0;C;2;33;0.040;88.41
751607;10;12V;0;C;2;31;0.033;88.41
751671;16;12V;1;A;;72;0.308;39.29
751694;8;25M;1;5;1;165;1.132;14.14
751701;9;10;0;5;2;25;0.011;88.42
751725;4;10;0;C;2;26;0.017;88.42
751725;13;12V;0;C;2;39;0.062;88.41
751725;21;10;0;5;1;31;0.031;88.41
751725;28;10;0;5;2;24;0.012;88.42
751725;30;10;0;5;1;24;0.012;88.42
751742;2;62;1;C;2;144;1.859;18.09
751782;1;02;1;C;1;29;0.019;88.41
751782;9;52;1;5;1;28;0.017;88.41
751782;10;02;1;5;1;30;0.023;88.41
751782;27;02;0;5;1;34;0.037;88.41
751796;13;02;1;C;2;88;0.511;39.29
751825;6;24;0;5;1;29;0.023;133.00
751939;17;03;0;5;1;26;0.016;88.42
751939;18;03;0;5;1;34;0.043;88.41
751969;4;52;1;A;;80;0.267;39.29
752033;14;58;1;A;;26;0.015;88.42
752046;6;61;1;5;2;125;1.299;14.14
752046;8;61;1;5;2;73;0.330;39.29
752046;23;61;1;5;2;98;0.706;39.29
752046;24;61;1;5;2;124;1.273;14.14
752046;25;61;1;5;2;76;0.367;39.29
752046;26;61;1;5;2;119;1.150;14.14
752068;6;12V;0;C;2;26;0.014;88.42
752140;4;22M;0;5;2;32;0.034;88.41
752140;7;15S;0;5;2;26;0.018;88.42
752140;8;15S;0;5;2;31;0.034;88.41
752140;13;15S;0;C;1;27;0.020;88.41
752140;18;22M;0;C;2;34;0.042;88.41
752158;1;52;1;A;;131;0.937;14.14
752235;9;18C;1;5;1;38;0.051;88.41
752235;11;18C;1;5;2;52;0.117;88.40
752260;19;11;0;5;2;25;0.014;88.42
752267;4;21C;0;5;2;26;0.017;88.42
752267;8;21C;0;5;2;25;0.015;88.42
752267;17;02;1;5;1;47;0.102;88.41
752267;22;11;0;5;2;34;0.042;88.41
752267;24;11;0;C;2;54;0.136;88.40
